"gene_id","symbol","global","adjP","call"
"ENSG00000256162","SMLR1",0.00173258786450437,0.00502250290697942,"Hit"
"ENSG00000256185","",7.98520467010597e-06,2.646871905731e-05,"Hit"
"ENSG00000256223","ZNF10",0.000269079449925296,0.000820818868010247,"Hit"
"ENSG00000256235","SMIM3",5.13558726725625e-13,2.36822971710444e-12,"Hit"
"ENSG00000256269","HMBS",5.66981407865335e-06,1.89330783033284e-05,"Hit"
"ENSG00000256294","AC021092.2",7.20849189120931e-13,3.30692829661584e-12,"Hit"
"ENSG00000256407","AL357673.1",2.27883911714808e-10,9.3755333356182e-10,"Hit"
"ENSG00000256566","AL049650.2",6.6091474014778e-23,4.64614501704733e-22,"Hit"
"ENSG00000256646","AC010132.3",5.56926947220414e-20,3.44520010104203e-19,"Hit"
"ENSG00000256664","",0.000417634377760002,0.00125896266630577,"Hit"
"ENSG00000256682","",0.00519630488869329,0.0145663046495108,"Hit"
"ENSG00000256720","BTG1P1",0.0113378271048878,0.0310171972047512,"Hit"
"ENSG00000256747","AC009511.2",4.66901852578135e-14,2.24982566904565e-13,"Hit"
"ENSG00000256771","ZNF253",0.00514470245398322,0.0144246934171038,"Hit"
"ENSG00000256825","AC026786.1",7.31766022967905e-63,4.24903616043853e-61,"Hit"
"ENSG00000256861","AC048338.1",1.57254603334453e-46,3.52913833002232e-45,"Hit"
"ENSG00000256879","AC129102.1",7.34407183012054e-38,1.04331328125121e-36,"Hit"
"ENSG00000256947","AP002518.2",2.2027672218401e-19,1.3265487205076e-18,"Hit"
"ENSG00000256995","LINC02955",0.000286878053896372,0.000873609866634617,"Hit"
"ENSG00000257150","PGAM1P5",3.31809165238672e-20,2.06799459581843e-19,"Hit"
"ENSG00000257167","TMPO-AS1",1.85306909620245e-09,7.32469077651723e-09,"Hit"
"ENSG00000257181","AC025423.4",1.2369642108723e-12,5.62417955615282e-12,"Hit"
"ENSG00000257218","GATC",1.45883795716732e-24,1.10342254359806e-23,"Hit"
"ENSG00000257261","AC008014.1",7.26672039829996e-06,2.41413069671941e-05,"Hit"
"ENSG00000257267","ZNF271P",9.44081322547655e-23,6.58903050539122e-22,"Hit"
"ENSG00000257285","AL132780.1",4.03542775429258e-12,1.7907252744478e-11,"Hit"
"ENSG00000257365","FNTB",1.5282123582573e-14,7.51780974019509e-14,"Hit"
"ENSG00000257379","AC023509.1",0.0103232521652353,0.0283056570865314,"Hit"
"ENSG00000257390","AC023055.1",0.00268742472821865,0.00768487884110181,"Hit"
"ENSG00000257452","AC004551.1",7.66082754487229e-08,2.8019811267822e-07,"Hit"
"ENSG00000257529","RPL36A-HNRNPH2",1.77868052346969e-12,8.03366675291319e-12,"Hit"
"ENSG00000257622","AL512356.1",6.10612546013012e-10,2.45816379786104e-09,"Hit"
"ENSG00000257702","LBX2-AS1",0.00182232333849538,0.00527400880008121,"Hit"
"ENSG00000257767","AC002996.1",1.62454135583233e-13,7.64520488710049e-13,"Hit"
"ENSG00000257800","FNBP1P1",0.00191961242833265,0.00554712299457553,"Hit"
"ENSG00000257831","AL136418.3",1.46233500328269e-25,1.16330652340113e-24,"Hit"
"ENSG00000257878","AC007298.2",2.79607408303196e-25,2.19347475410478e-24,"Hit"
"ENSG00000257913","DDN-AS1",5.07126893544546e-16,2.64338153800934e-15,"Hit"
"ENSG00000257921","AC025165.3",1.95848568069487e-41,3.37113062733977e-40,"Hit"
"ENSG00000257923","CUX1",7.36941994296137e-76,9.3324930458626e-74,"Hit"
"ENSG00000257950","P2RX5-TAX1BP3",6.35081800867864e-22,4.2682247693404e-21,"Hit"
"ENSG00000258017","AC011603.3",2.15773072796206e-23,1.55088353998441e-22,"Hit"
"ENSG00000258048","AC073569.2",1.22276025117692e-11,5.32123811484192e-11,"Hit"
"ENSG00000258057","BCDIN3D-AS1",1.0321694709427e-06,3.57275997790578e-06,"Hit"
"ENSG00000258064","AC073612.1",0.00117727335508365,0.00344996227053385,"Hit"
"ENSG00000258114","AC005871.2",6.95353810410713e-17,3.74640178972093e-16,"Hit"
"ENSG00000258137","AC079313.2",1.9820522394792e-58,8.81449786901501e-57,"Hit"
"ENSG00000258168","AC025569.1",2.0729949588959e-21,1.36256124411462e-20,"Hit"
"ENSG00000258279","LINC00592",2.32955745267569e-11,1.00149128510277e-10,"Hit"
"ENSG00000258289","CHURC1",4.75746077286089e-91,1.75722099713142e-88,"Hit"
"ENSG00000258302","AC025034.1",5.29424516550025e-87,1.38034466599327e-84,"Hit"
"ENSG00000258378","AL139021.2",8.26686653953502e-16,4.27555520716442e-15,"Hit"
"ENSG00000258457","AL132780.2",3.23529279900091e-15,1.63076908067912e-14,"Hit"
"ENSG00000258466","AL049779.1",1.59538876565845e-25,1.26499012623497e-24,"Hit"
"ENSG00000258472","AC005726.1",2.87784368768944e-30,2.81890884089919e-29,"Hit"
"ENSG00000258529","AP001781.2",1.59951921969288e-20,1.0118366824099e-19,"Hit"
"ENSG00000258539","AC068896.3",6.8073777554594e-66,4.65386642747268e-64,"Hit"
"ENSG00000258583","LINC01500",0.00239185428948887,0.00685515389316381,"Hit"
"ENSG00000258636","AL121821.2",0.00930059619892349,0.0255727931466265,"Hit"
"ENSG00000258653","AC005520.3",1.07472458590316e-51,3.17569173750097e-50,"Hit"
"ENSG00000258657","AL136018.1",4.10626939652554e-21,2.6602223710402e-20,"Hit"
"ENSG00000258677","AC022826.2",1.56689168622064e-40,2.55800598547279e-39,"Hit"
"ENSG00000258728","AL162231.3",0.0107682999472337,0.0294924993611465,"Hit"
"ENSG00000258744","AL132800.1",0.00113334313131817,0.0033263577126449,"Hit"
"ENSG00000258777","HIF1A-AS1",3.80611320808288e-35,4.72768681250612e-34,"Hit"
"ENSG00000258782","AL121694.1",5.11643449223279e-11,2.1694780384931e-10,"Hit"
"ENSG00000258790","AL121594.1",2.79952086880418e-08,1.04771260885137e-07,"Hit"
"ENSG00000258830","",2.4186785993421e-17,1.33062347271212e-16,"Hit"
"ENSG00000258851","AL139300.2",7.79883676562363e-17,4.1924856467555e-16,"Hit"
"ENSG00000258872","FDPSP3",0.00701780126510408,0.0194711952889074,"Hit"
"ENSG00000258892","AL160236.2",3.46930194786781e-26,2.8537771729538e-25,"Hit"
"ENSG00000258927","AL133467.2",4.52790242484135e-29,4.19418450317767e-28,"Hit"
"ENSG00000258976","AC013451.2",0.0086886989221256,0.0239497573730315,"Hit"
"ENSG00000258984","UBE2F-SCLY",4.60749469739576e-07,1.62143329340404e-06,"Hit"
"ENSG00000259024","TVP23C-CDRT4",6.2880407230216e-20,3.87901078608296e-19,"Hit"
"ENSG00000259040","BLOC1S5-TXNDC5",1.96390078605547e-15,9.9938724654342e-15,"Hit"
"ENSG00000259080","AC074091.2",1.4044615990657e-24,1.06410973691035e-23,"Hit"
"ENSG00000259112","NDUFC2-KCTD14",1.67682015476055e-08,6.34148964671531e-08,"Hit"
"ENSG00000259132","AL132780.3",6.29531496698806e-05,0.00019947290150373,"Hit"
"ENSG00000259138","AL049780.2",2.8466696779193e-08,1.06490833330406e-07,"Hit"
"ENSG00000259151","CAP2P1",1.32572965494349e-05,4.33979005952327e-05,"Hit"
"ENSG00000259172","AC023024.1",1.03447877249395e-08,3.95158409590693e-08,"Hit"
